probe	pvalue	adj.pvalue	symbol	entrez	group
ILMN_1651656	0.00055	0.075182	PSG7	5676	GSE44711_EOvC
ILMN_1750805	0.00056	0.075555	ARHGAP30	257106	GSE44711_EOvC
ILMN_1770824	0.00056	0.075182	ARHGAP4	393	GSE44711_EOvC
ILMN_1723412	0.00056	0.07544	ASCL2	430	GSE44711_EOvC
ILMN_1862070	0.00056	0.07544	NA	NA	GSE44711_EOvC
ILMN_1770678	0.00057	0.075999	CBX2	84733	GSE44711_EOvC
ILMN_1700728	0.00057	0.075799	KRTCAP3	200634	GSE44711_EOvC
ILMN_1662587	0.00057	0.075623	PNPLA7	375775	GSE44711_EOvC
ILMN_2299661	0.00057	0.075799	TNFRSF25	8718	GSE44711_EOvC
ILMN_3255765	0.00058	0.076065	LOC100128559	NA	GSE44711_EOvC
ILMN_1689484	0.00058	0.076065	LOC653715	NA	GSE44711_EOvC
ILMN_1672417	0.00058	0.076065	PTPRCAP	5790	GSE44711_EOvC
ILMN_1685625	0.00058	0.076065	UCP2	7351	GSE44711_EOvC
ILMN_1697268	0.00059	0.076567	EMILIN2	84034	GSE44711_EOvC
ILMN_1679217	0.00059	0.076747	FAM110B	90362	GSE44711_EOvC
ILMN_1688892	0.00059	0.076567	LAMA3	3909	GSE44711_EOvC
ILMN_1727532	0.00059	0.076427	OLFML3	56944	GSE44711_EOvC
ILMN_1712673	0.00059	0.076567	SASH1	23328	GSE44711_EOvC
ILMN_1798448	6.00E-04	0.077203	IDS	3423	GSE44711_EOvC
ILMN_1652287	6.00E-04	0.077343	NOG	9241	GSE44711_EOvC
ILMN_1728734	6.00E-04	0.077203	PSG5	5673	GSE44711_EOvC
ILMN_1778668	0.00061	0.077821	TAGLN	6876	GSE44711_EOvC
ILMN_2344182	0.00062	0.078863	TMTC4	84899	GSE44711_EOvC
ILMN_2083818	0.00063	0.08025	EXOC8	149371	GSE44711_EOvC
