A	Coef.EOvsC	Coef.LOvsC	t.EOvsC	t.LOvsC	p.value.EOvsC	p.value.LOvsC	p.value.adj.EOvsC	p.value.adj.LOvsC	F	F.p.value	Res.EOvsC	Res.LOvsC	Genes.ProbeID	Genes.EntrezGeneID	Genes.GeneSymbol
0.28	-1.124	-1.038	-1.68	-1.55	0.11698	0.14523	0.45404	0.760911	1.68	0.22365	0	0	NA	NA	NA
-1.02	-1.141	-0.405	-2.62	-0.93	0.02088	0.36855	0.245835	0.863202	3.63	0.05519	0	0	NA	NA	NA
-0.78	0.954	-0.144	1.81	-0.27	0.09349	0.78916	0.417754	0.967289	2.81	0.09594	0	0	NA	NA	NA
-0.09	0.422	0.494	1	1.17	0.33661	0.26409	0.67135	0.819827	0.77	0.48347	0	0	NA	NA	NA
0.32	0.43	0.661	0.51	0.78	0.62012	0.44862	0.848726	0.894193	0.31	0.7395	0	0	NA	NA	NA
0.08	0.489	0.288	2.17	1.28	0.04893	0.22325	0.329183	0.799923	2.35	0.13343	0	0	NA	NA	NA
-0.11	0.071	0.202	0.18	0.5	0.86138	0.62263	0.955527	0.935262	0.13	0.87539	0	0	NA	NA	NA
0.04	0.566	0.176	1.6	0.5	0.13381	0.62844	0.474544	0.936412	1.39	0.284	0	0	NA	NA	NA
0.01	0.857	0.122	2.14	0.31	0.05109	0.76401	0.334741	0.964039	2.86	0.09243	0	0	NA	NA	NA
0.21	0.918	1.545	1.11	1.86	0.28846	0.08516	0.63256	0.725507	1.73	0.2143	0	0	NA	NA	NA
-0.33	0.772	0.879	1.01	1.16	0.32828	0.2682	0.664598	0.821862	0.77	0.48335	0	0	NA	NA	NA
-0.32	1.375	0.714	1.5	0.78	0.15688	0.44934	0.503669	0.894193	1.13	0.35286	0	0	NA	NA	NA
-0.33	-0.166	-0.176	-0.68	-0.72	0.50792	0.48371	0.788014	0.904784	0.32	0.73417	0	0	NA	NA	NA
-0.13	0.434	0.428	0.81	0.79	0.43481	0.44081	0.741534	0.890962	0.41	0.67084	0	0	NA	NA	NA
0.38	0.57	0.696	0.6	0.73	0.56042	0.47852	0.817995	0.903194	0.29	0.75103	0	0	NA	NA	NA
-0.75	-0.892	-0.836	-4.41	-4.14	0.00067	0.00112	0.078629	0.453348	11.79	0.00114	0	0	NA	NA	NA
-0.02	-0.043	0.261	-0.07	0.44	0.9441	0.66918	0.983339	0.945985	0.17	0.84808	0	0	NA	NA	NA
0.22	0.039	0.353	0.06	0.53	0.95461	0.60441	0.987099	0.931811	0.18	0.83616	0	0	NA	NA	NA
0	0.15	-0.079	0.67	-0.35	0.51641	0.73108	0.793416	0.958916	0.6	0.56377	0	0	NA	NA	NA
-0.52	0.298	-0.017	0.56	-0.03	0.58319	0.97437	0.829498	0.99663	0.24	0.78666	0	0	NA	NA	NA
-0.49	-0.176	-0.093	-0.6	-0.32	0.5573	0.75559	0.816618	0.962308	0.18	0.83612	0	0	NA	NA	NA
0.11	0.231	0.199	0.87	0.75	0.39814	0.46538	0.716325	0.89947	0.43	0.65769	0	0	NA	NA	NA
-0.12	0.33	0.211	1.15	0.74	0.26947	0.47382	0.616933	0.90181	0.67	0.52779	0	0	NA	NA	NA
-0.19	0.138	0.411	0.29	0.85	0.77971	0.41049	0.92469	0.880373	0.39	0.68696	0	0	NA	NA	NA
-0.1	0.579	0.886	0.63	0.97	0.53667	0.34957	0.805697	0.855577	0.48	0.63107	0	0	NA	NA	NA
0.1	0.313	0.075	2.07	0.5	0.05813	0.62847	0.349141	0.936412	2.46	0.12326	0	0	NA	NA	NA
