probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol
203407_at	0.895369588719697	7.842114147	4.08012648619855	0.000411664778443071	0.144507405956643	0.0660407270088843	PPL
203833_s_at	0.399861438825758	7.62636176547826	4.09916921644664	0.000392068408569368	0.144507405956643	0.107539914385615	TGOLN2
204637_at	0.212416222803031	14.1142009217391	4.09305960249431	0.000398252833317162	0.144507405956643	0.0942237956600458	CGA
205952_at	-0.530616828280304	7.03693737878261	-4.10781250352965	0.000383481436081122	0.144507405956643	0.126380814993039	KCNK3
205977_s_at	0.327491695310606	7.9457563506087	4.13095055105504	0.000361400363301256	0.144507405956643	0.176831804620894	EPHA1
207169_x_at	0.552783117219697	9.83847145926087	4.12436671211831	0.000367551922836382	0.144507405956643	0.162474180405143	DDR1 /// MIR4640
209093_s_at	0.61848907280303	8.6500623863913	4.13807115862999	0.000354862102292473	0.144507405956643	0.192361689454692	GBA /// GBAP1
209343_at	0.566463452045454	11.8225498843478	4.08499178728901	0.000406567668260689	0.144507405956643	0.076642068202518	EFHD1
212314_at	-0.560343422825759	8.87254054473913	-4.09679484932511	0.000394460468018835	0.144507405956643	0.102364717501991	SEL1L3
213598_at	0.584803725886365	8.20733472778261	4.08642269058662	0.000405080515717658	0.144507405956643	0.0797601545641804	
219764_at	0.568104019522727	6.74423268386957	4.14797410123761	0.00034596356360378	0.144507405956643	0.213962631550314	FZD10
221989_at	0.353160728151515	8.7799154383913	4.08790519372334	0.000403545415907057	0.144507405956643	0.0829907735231012	RPL10 /// SNORA70
222102_at	-0.571559367325759	8.8642688056087	-4.14400501925942	0.000349503202840201	0.144507405956643	0.205304622313831	GSTA3
203434_s_at	0.928120717431818	8.71123533586957	4.05892041742339	0.000434630071320999	0.145634000413089	0.0198455637961601	MME
203476_at	0.797274468227272	10.2301268100435	4.0632171650814	0.000429876673734715	0.145634000413089	0.0292039235791952	TPBG
212328_at	0.870139179931817	8.70311630191304	4.06171444415031	0.000431533221974815	0.145634000413089	0.0259308848845112	LIMCH1
201041_s_at	0.592187480378787	11.9874312665217	4.0251371530825	0.000473860819469804	0.156409433172757	-0.0537036019179595	DUSP1
206570_s_at	1.03053101923485	9.99846054304348	3.99270369122339	0.000514811394254218	0.163367950740666	-0.12425794023534	PSG11
210665_at	0.958496224681817	8.71977391960869	3.98753982032576	0.000521646397841939	0.163367950740666	-0.135485729815217	TFPI
213843_x_at	0.819621365098485	8.41508547613043	3.97993305241391	0.000531878474036987	0.163367950740666	-0.152022241400019	SLC6A8
218816_at	0.677366974492425	8.79070200834783	3.99427004878206	0.00051275567762147	0.163367950740666	-0.120851907263622	LRRC1
221571_at	-0.364778347545455	7.25969936869565	-3.98285526277825	0.00052792448498151	0.163367950740666	-0.145669994430612	TRAF3
207790_at	0.400017926530303	6.63658813378261	3.95162052401691	0.00057173431590654	0.173204169811961	-0.21354027719261	LRRC1
221605_s_at	-0.473875462098486	6.96486317265217	-3.92614260456055	0.000610111550587059	0.182332661368011	-0.268854787478194	PIPOX
203722_at	-0.469922101295454	7.70961979504348	-3.91629150807638	0.000625622070712678	0.182425592934511	-0.29023034067925	ALDH4A1
204391_x_at	0.337001862522727	7.22258948343478	3.90528116854431	0.000643418324616408	0.182425592934511	-0.314113107724471	TRIM24
206519_x_at	1.25136789856818	6.65844963243478	3.9092775898866	0.000636901844243372	0.182425592934511	-0.305445396418441	SIGLEC6
218345_at	-0.232994339196971	8.58546468243478	-3.9127208926058	0.000631339490328787	0.182425592934511	-0.2979763978579	TMEM176A
205308_at	-0.4060975665	6.82930245078261	-3.8847436388173	0.000677957389191595	0.189785160278128	-0.358637617401541	ZC2HC1A
203980_at	1.55075115992424	8.8947520186087	3.86294298122538	0.000716620426289997	0.195197741198219	-0.405865023239716	FABP4
213005_s_at	-0.420532259037879	8.95992372630435	-3.85976533628899	0.000722434352812907	0.195197741198219	-0.412745686106047	KANK1
